,HSA,hsa_link
186,7852,https://www.genome.jp/pathway/hsa04060
187,7852,https://www.genome.jp/pathway/hsa04061
188,7852,https://www.genome.jp/pathway/hsa04062
189,7852,https://www.genome.jp/pathway/hsa04144
190,7852,https://www.genome.jp/pathway/hsa04360
191,7852,https://www.genome.jp/pathway/hsa04670
192,7852,https://www.genome.jp/pathway/hsa04672
193,7852,https://www.genome.jp/pathway/hsa04810
194,7852,https://www.genome.jp/pathway/hsa05163
195,7852,https://www.genome.jp/pathway/hsa05170
196,7852,https://www.genome.jp/pathway/hsa05200
197,2798,https://www.genome.jp/pathway/hsa04080
198,2798,https://www.genome.jp/pathway/hsa04912
199,2936,https://www.genome.jp/pathway/hsa00480
200,2936,https://www.genome.jp/pathway/hsa01100
201,2936,https://www.genome.jp/pathway/hsa04918
202,2936,https://www.genome.jp/pathway/hsa05415
203,2147,https://www.genome.jp/pathway/hsa04072
204,2147,https://www.genome.jp/pathway/hsa04080
205,2147,https://www.genome.jp/pathway/hsa04610
206,2147,https://www.genome.jp/pathway/hsa04611
207,2147,https://www.genome.jp/pathway/hsa04810
208,2147,https://www.genome.jp/pathway/hsa05130
209,2147,https://www.genome.jp/pathway/hsa05171
210,2147,https://www.genome.jp/pathway/hsa05200
211,1129,https://www.genome.jp/pathway/hsa04020
212,1129,https://www.genome.jp/pathway/hsa04024
213,1129,https://www.genome.jp/pathway/hsa04080
214,1129,https://www.genome.jp/pathway/hsa04151
215,1129,https://www.genome.jp/pathway/hsa04725
216,1129,https://www.genome.jp/pathway/hsa04810
217,1131,https://www.genome.jp/pathway/hsa04020
218,1131,https://www.genome.jp/pathway/hsa04080
219,1131,https://www.genome.jp/pathway/hsa04725
220,1131,https://www.genome.jp/pathway/hsa04742
221,1131,https://www.genome.jp/pathway/hsa04810
222,1131,https://www.genome.jp/pathway/hsa04911
223,1131,https://www.genome.jp/pathway/hsa04970
224,1131,https://www.genome.jp/pathway/hsa04971
225,1131,https://www.genome.jp/pathway/hsa04972
226,1131,https://www.genome.jp/pathway/hsa05010
227,1131,https://www.genome.jp/pathway/hsa05022
228,5689,https://www.genome.jp/pathway/hsa03050
229,5689,https://www.genome.jp/pathway/hsa05010
230,5689,https://www.genome.jp/pathway/hsa05012
231,5689,https://www.genome.jp/pathway/hsa05014
232,5689,https://www.genome.jp/pathway/hsa05016
233,5689,https://www.genome.jp/pathway/hsa05017
234,5689,https://www.genome.jp/pathway/hsa05020
235,5689,https://www.genome.jp/pathway/hsa05022
236,5699,https://www.genome.jp/pathway/hsa03050
237,5690,https://www.genome.jp/pathway/hsa03050
238,5690,https://www.genome.jp/pathway/hsa05010
239,5690,https://www.genome.jp/pathway/hsa05012
240,5690,https://www.genome.jp/pathway/hsa05014
241,5690,https://www.genome.jp/pathway/hsa05016
242,5690,https://www.genome.jp/pathway/hsa05017
243,5690,https://www.genome.jp/pathway/hsa05020
244,5690,https://www.genome.jp/pathway/hsa05022
245,5693,https://www.genome.jp/pathway/hsa03050
246,5693,https://www.genome.jp/pathway/hsa05010
247,5693,https://www.genome.jp/pathway/hsa05012
248,5693,https://www.genome.jp/pathway/hsa05014
249,5693,https://www.genome.jp/pathway/hsa05016
250,5693,https://www.genome.jp/pathway/hsa05017
251,5693,https://www.genome.jp/pathway/hsa05020
